Budget Automator
Budget,Cost,Makespan,Fitness,MilliSec,Sec
1.463,1.463,3450,3450.0,6864,6
2.025,1.973,2593,2593.0,5602,5
2.25,2.25,2244,2244.0,5404,5
2.7,2.7,1868,1868.0,4162,4
3.375,3.375,1516,1516.0,3858,3
3.6,3.6,1402,1402.0,1434,1
4.05,4.05,1274,1274.0,7809,7
4.5,4.5,1121,1121.0,10856,10
4.98,4.98,1021,1021.0,5549,5
5.85,5.85,887,887.0,6588,6
6.33,6.3,812,812.0,4366,4
6.75,6.75,761,761.0,3836,3
7.2,7.2,707,707.0,7545,7
7.65,7.65,675,675.0,5914,5
8.1,8.1,643,643.0,3856,3
8.55,8.55,611,611.0,12389,12
9.0,9.0,580,580.0,5040,5
9.9,9.9,534,534.0,4239,4
11.7,11.7,468,468.0,18987,18
