Budget Automator
Budget,Cost,Makespan,Fitness,MilliSec,Sec
1.463,1.463,3506,3506.0,308,0
2.025,1.973,2653,2653.0,33,0
2.25,2.198,2431,2431.0,26,0
2.7,2.7,1871,1871.0,21,0
3.375,3.323,1591,1591.0,21,0
3.6,3.6,1406,1406.0,12,0
4.05,3.998,1330,1330.0,14,0
4.5,4.5,1140,1140.0,14,0
4.98,4.95,1073,1073.0,12,0
5.85,5.798,940,940.0,11,0
6.33,6.3,860,860.0,11,0
6.75,6.75,809,809.0,11,0
7.2,7.2,710,710.0,9,0
7.65,7.65,697,697.0,11,0
8.1,8.1,668,668.0,10,0
8.55,8.55,629,629.0,10,0
9.0,9.0,607,607.0,19,0
9.9,9.9,566,566.0,11,0
11.7,11.648,470,470.0,11,0
