VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.0, timeMuMult=1.0, volat=1.284930740948926]


VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.0, timeMuMult=2.0, volat=0.8904732913550394]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.2000000000000002, timeMuMult=1.9, volat=0.9075566833755725]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.0, timeMuMult=1.9, volat=0.9364483523643037]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.2000000000000002, timeMuMult=1.7999999999999998, volat=0.9437204425540141]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.4000000000000004, timeMuMult=1.9, volat=0.9733517975659154]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.5000000000000004, timeMuMult=2.0, volat=0.9851448911938234]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.4000000000000004, timeMuMult=2.0, volat=0.988581262396632]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.1, timeMuMult=1.6999999999999997, volat=0.989410427178872]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.1, timeMuMult=1.7999999999999998, volat=1.0152144993894974]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.3000000000000003, timeMuMult=2.0, volat=1.0199830839034258]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.4000000000000004, timeMuMult=1.7999999999999998, volat=1.0239996462671026]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.1, timeMuMult=1.9, volat=1.035413794287571]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.2000000000000002, timeMuMult=2.0, volat=1.045205176090924]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.0, timeMuMult=1.7999999999999998, volat=1.0705809882879702]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.1, timeMuMult=1.5999999999999996, volat=1.078982061951133]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.6000000000000005, timeMuMult=1.9, volat=1.0883391116550079]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.0, timeMuMult=1.4999999999999996, volat=1.0895351214492253]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.3000000000000003, timeMuMult=1.5999999999999996, volat=1.0957898322480042]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.6000000000000005, timeMuMult=2.0, volat=1.0979728649936715]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.2000000000000002, timeMuMult=1.2999999999999994, volat=1.09971867018774]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.8000000000000007, timeMuMult=2.0, volat=1.1017056527412483]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.3000000000000003, timeMuMult=1.7999999999999998, volat=1.1055454497596473]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.5000000000000004, timeMuMult=1.7999999999999998, volat=1.1159877398306393]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.3000000000000003, timeMuMult=1.6999999999999997, volat=1.1194564987492328]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.3000000000000003, timeMuMult=1.9, volat=1.1204989391618074]
