TRACE: 0.9143214574343509
REF: VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.0, timeMuMult=1.0, volat=1.3104432919128775]

VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.0, timeMuMult=2.0, volat=0.9281333410326557]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.1, timeMuMult=1.9, volat=0.9447167200626331]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.4000000000000004, timeMuMult=1.9, volat=0.9669478895606983]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.0, timeMuMult=1.6999999999999997, volat=0.9993302097175684]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.1, timeMuMult=1.6999999999999997, volat=1.0011865485105285]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.2000000000000002, timeMuMult=1.6999999999999997, volat=1.0114788176953704]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.2000000000000002, timeMuMult=1.9, volat=1.0288081640680047]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.6000000000000005, timeMuMult=1.9, volat=1.0417125981422826]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.4000000000000004, timeMuMult=2.0, volat=1.0518470337648929]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.0, timeMuMult=1.5999999999999996, volat=1.0568419564305875]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.0, timeMuMult=1.9, volat=1.060732790709888]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.0, timeMuMult=1.3999999999999995, volat=1.0623412957612839]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.1, timeMuMult=1.7999999999999998, volat=1.0638756855531895]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.2000000000000002, timeMuMult=1.3999999999999995, volat=1.0722241034238003]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.9000000000000008, timeMuMult=2.0, volat=1.0786959556843707]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.3000000000000003, timeMuMult=1.5999999999999996, volat=1.0909977555689225]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.8000000000000007, timeMuMult=2.0, volat=1.0929660416254559]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.2000000000000002, timeMuMult=2.0, volat=1.1047816289491932]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.0, timeMuMult=1.1999999999999993, volat=1.1076107158981416]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.7000000000000006, timeMuMult=1.7999999999999998, volat=1.1334696894866316]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.4000000000000004, timeMuMult=1.5999999999999996, volat=1.1350891385557809]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.0, timeMuMult=1.7999999999999998, volat=1.1356673862351965]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.2000000000000002, timeMuMult=1.5999999999999996, volat=1.1382238465309964]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.0, timeMuMult=1.2999999999999994, volat=1.1411352763968206]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.5000000000000004, timeMuMult=1.7999999999999998, volat=1.1420052538473568]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.3000000000000003, timeMuMult=1.6999999999999997, volat=1.1421730566561368]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.4000000000000004, timeMuMult=1.7999999999999998, volat=1.1475495269217386]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.3000000000000003, timeMuMult=2.0, volat=1.1547015896602952]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.0, timeMuMult=1.4999999999999996, volat=1.1557242966351278]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.100000000000001, timeMuMult=1.7999999999999998, volat=1.1588044844892806]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.2000000000000002, timeMuMult=1.7999999999999998, volat=1.1597614415453936]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.3000000000000003, timeMuMult=1.1999999999999993, volat=1.1612904969815365]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.5000000000000004, timeMuMult=1.9, volat=1.1621245098246091]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.000000000000001, timeMuMult=2.0, volat=1.1636598002686382]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.3000000000000003, timeMuMult=1.9, volat=1.1660769883042135]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.7000000000000006, timeMuMult=1.9, volat=1.1696964698442331]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.5000000000000004, timeMuMult=1.4999999999999996, volat=1.1720110101789538]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.3000000000000003, timeMuMult=1.4999999999999996, volat=1.1721678759829788]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.1, timeMuMult=1.5999999999999996, volat=1.1759698143978123]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.1, timeMuMult=1.3999999999999995, volat=1.1781592324763055]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.8000000000000007, timeMuMult=1.9, volat=1.1785336259758676]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.8000000000000007, timeMuMult=1.7999999999999998, volat=1.1808511589495274]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.6000000000000005, timeMuMult=2.0, volat=1.1818682588390326]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.7000000000000006, timeMuMult=2.0, volat=1.1832221077577996]
